fiber_id,x,y
0,50.0,50.0
1,54.0,50.0
2,58.0,50.0
3,62.0,50.0
4,66.0,50.0
5,70.0,50.0
6,74.0,50.0
7,78.0,50.0
8,82.0,50.0
9,86.0,50.0
10,90.0,50.0
11,94.0,50.0
12,98.0,50.0
13,102.0,50.0
14,52.0,53.464
15,56.0,53.464
16,60.0,53.464
17,64.0,53.464
18,68.0,53.464
19,72.0,53.464
20,76.0,53.464
21,80.0,53.464
22,84.0,53.464
23,88.0,53.464
24,92.0,53.464
25,96.0,53.464
26,100.0,53.464
27,104.0,53.464
28,50.0,56.928
29,54.0,56.928
30,58.0,56.928
31,62.0,56.928
32,66.0,56.928
33,70.0,56.928
34,74.0,56.928
35,78.0,56.928
36,82.0,56.928
37,86.0,56.928
38,90.0,56.928
39,94.0,56.928
40,98.0,56.928
41,102.0,56.928
42,52.0,60.392
43,56.0,60.392
44,60.0,60.392
45,64.0,60.392
46,68.0,60.392
47,72.0,60.392
48,76.0,60.392
49,80.0,60.392
50,84.0,60.392
51,88.0,60.392
52,92.0,60.392
53,96.0,60.392
54,100.0,60.392
55,104.0,60.392
56,50.0,63.856
57,54.0,63.856
58,58.0,63.856
59,62.0,63.856
60,66.0,63.856
61,70.0,63.856
62,74.0,63.856
63,78.0,63.856
64,82.0,63.856
65,86.0,63.856
66,90.0,63.856
67,94.0,63.856
68,98.0,63.856
69,102.0,63.856
70,52.0,67.32
71,56.0,67.32
72,60.0,67.32
73,64.0,67.32
74,68.0,67.32
75,72.0,67.32
76,76.0,67.32
77,80.0,67.32
78,84.0,67.32
79,88.0,67.32
80,92.0,67.32
81,96.0,67.32
82,100.0,67.32
83,104.0,67.32
84,50.0,70.784
85,54.0,70.784
86,58.0,70.784
87,62.0,70.784
88,66.0,70.784
89,70.0,70.784
90,74.0,70.784
91,78.0,70.784
92,82.0,70.784
93,86.0,70.784
94,90.0,70.784
95,94.0,70.784
96,98.0,70.784
97,102.0,70.784
98,52.0,74.248
99,56.0,74.248
100,60.0,74.248
101,64.0,74.248
102,68.0,74.248
103,72.0,74.248
104,76.0,74.248
105,80.0,74.248
106,84.0,74.248
107,88.0,74.248
108,92.0,74.248
109,96.0,74.248
110,100.0,74.248
111,104.0,74.248
112,50.0,77.712
113,54.0,77.712
114,58.0,77.712
115,62.0,77.712
116,66.0,77.712
117,70.0,77.712
118,74.0,77.712
119,78.0,77.712
120,82.0,77.712
121,86.0,77.712
122,90.0,77.712
123,94.0,77.712
124,98.0,77.712
125,102.0,77.712
126,52.0,81.176
127,56.0,81.176
128,60.0,81.176
129,64.0,81.176
130,68.0,81.176
131,72.0,81.176
132,76.0,81.176
133,80.0,81.176
134,84.0,81.176
135,88.0,81.176
136,92.0,81.176
137,96.0,81.176
138,100.0,81.176
139,104.0,81.176
140,50.0,84.64
141,54.0,84.64
142,58.0,84.64
143,62.0,84.64
144,66.0,84.64
145,70.0,84.64
146,74.0,84.64
147,78.0,84.64
148,82.0,84.64
149,86.0,84.64
150,90.0,84.64
151,94.0,84.64
152,98.0,84.64
153,102.0,84.64
154,52.0,88.104
155,56.0,88.104
156,60.0,88.104
157,64.0,88.104
158,68.0,88.104
159,72.0,88.104
160,76.0,88.104
161,80.0,88.104
162,84.0,88.104
163,88.0,88.104
164,92.0,88.104
165,96.0,88.104
166,100.0,88.104
167,104.0,88.104
168,50.0,91.568
169,54.0,91.568
170,58.0,91.568
171,62.0,91.568
172,66.0,91.568
173,70.0,91.568
174,74.0,91.568
175,78.0,91.568
176,82.0,91.568
177,86.0,91.568
178,90.0,91.568
179,94.0,91.568
180,98.0,91.568
181,102.0,91.568
182,52.0,95.032
183,56.0,95.032
184,60.0,95.032
185,64.0,95.032
186,68.0,95.032
187,72.0,95.032
188,76.0,95.032
189,80.0,95.032
190,84.0,95.032
191,88.0,95.032
192,92.0,95.032
193,96.0,95.032
194,100.0,95.032
195,104.0,95.032
196,50.0,98.496
197,54.0,98.496
198,58.0,98.496
199,62.0,98.496
200,66.0,98.496
201,70.0,98.496
202,74.0,98.496
203,78.0,98.496
204,82.0,98.496
205,86.0,98.496
206,90.0,98.496
207,94.0,98.496
208,98.0,98.496
209,102.0,98.496
210,52.0,101.96
211,56.0,101.96
212,60.0,101.96
213,64.0,101.96
214,68.0,101.96
215,72.0,101.96
216,76.0,101.96
217,80.0,101.96
218,84.0,101.96
219,88.0,101.96
220,92.0,101.96
221,96.0,101.96
222,100.0,101.96
223,104.0,101.96
224,50.0,105.424
225,54.0,105.424
226,58.0,105.424
227,62.0,105.424
228,66.0,105.424
229,70.0,105.424
230,74.0,105.424
231,78.0,105.424
232,82.0,105.424
233,86.0,105.424
234,90.0,105.424
235,94.0,105.424
236,98.0,105.424
237,102.0,105.424
238,52.0,108.888
239,56.0,108.888
240,60.0,108.888
241,64.0,108.888
242,68.0,108.888
243,72.0,108.888
244,76.0,108.888
245,80.0,108.888
